country,year played,match date,outcome,match type,score
Ghana,2014,20140614,win,group,2-1
Portugal,2014,20140622,draw,group,2-2
Germany,2014,20140626,loss,group,0-1
Belgium,2014,20140701,loss,knockout,1-2
Wales,2022,20221121,draw,group,1-1
England,2022,20221125,draw,group,0-0
Iran,2022,20221129,win,group,1-0
Netherlands,2022,20221203,loss,knockout,1-3
Paraguay,2026,20260612,win,group,4-1
Australia,2026,20260619,win,group,2-0
Turkey,2026,20260625,loss,group,2-3
Bosnia_and_Herzegovina,2026,20260701,win,knockout,2-0
Belgium,2026,20260706,loss,knockout,1-4
