,country,geo_code,date,cultural_interest_1,cultural_interest_2,match_interest_1,match_interest_2,city
0,Australia,US-CA-803,2026-05-17,1,0,0,0,Los Angeles CA
1,Australia,US-CA-803,2026-05-24,13,1,5,0,Los Angeles CA
2,Australia,US-CA-803,2026-05-31,12,0,19,13,Los Angeles CA
3,Australia,US-CA-803,2026-06-07,14,0,19,2,Los Angeles CA
4,Australia,US-CA-803,2026-06-14,16,1,129,17,Los Angeles CA
5,Australia,US-CA-803,2026-06-21,12,0,174,39,Los Angeles CA
6,Australia,US-CA-803,2026-06-28,15,0,113,8,Los Angeles CA
7,Australia,US-CA-803,2026-07-05,20,0,197,16,Los Angeles CA
8,Australia,US-CA-803,2026-07-12,11,0,52,1,Los Angeles CA
9,Australia,US-CA-803,2026-07-19,12,0,33,0,Los Angeles CA
10,Australia,US-CA-803,2026-07-26,3,0,6,0,Los Angeles CA
11,Australia,US-CA-803,2026-08-02,2,0,0,0,Los Angeles CA
12,Australia,US-CA-803,2026-08-09,3,0,0,0,Los Angeles CA
13,Australia,US-CA-803,2026-08-16,4,0,0,0,Los Angeles CA
14,Australia,US-CA-803,2026-08-23,1,0,0,0,Los Angeles CA
15,Australia,US-CA-807,2026-05-17,0,0,0,0,San Francisco CA
16,Australia,US-CA-807,2026-05-24,10,0,0,0,San Francisco CA
17,Australia,US-CA-807,2026-05-31,11,0,8,4,San Francisco CA
18,Australia,US-CA-807,2026-06-07,12,0,23,0,San Francisco CA
19,Australia,US-CA-807,2026-06-14,7,2,121,19,San Francisco CA
20,Australia,US-CA-807,2026-06-21,4,0,175,38,San Francisco CA
21,Australia,US-CA-807,2026-06-28,13,0,141,10,San Francisco CA
22,Australia,US-CA-807,2026-07-05,24,0,196,15,San Francisco CA
23,Australia,US-CA-807,2026-07-12,12,0,65,0,San Francisco CA
24,Australia,US-CA-807,2026-07-19,0,0,35,0,San Francisco CA
25,Australia,US-CA-807,2026-07-26,10,2,8,0,San Francisco CA
26,Australia,US-CA-807,2026-08-02,2,0,2,0,San Francisco CA
27,Australia,US-CA-807,2026-08-09,0,0,0,0,San Francisco CA
28,Australia,US-CA-807,2026-08-16,0,0,0,0,San Francisco CA
29,Australia,US-CA-807,2026-08-23,0,0,0,0,San Francisco CA
30,Australia,US-FL-528,2026-05-17,0,0,0,0,Miami FL
31,Australia,US-FL-528,2026-05-24,0,0,0,0,Miami FL
32,Australia,US-FL-528,2026-05-31,0,0,7,0,Miami FL
33,Australia,US-FL-528,2026-06-07,0,0,5,0,Miami FL
34,Australia,US-FL-528,2026-06-14,5,0,98,6,Miami FL
35,Australia,US-FL-528,2026-06-21,6,0,175,39,Miami FL
36,Australia,US-FL-528,2026-06-28,0,0,101,0,Miami FL
37,Australia,US-FL-528,2026-07-05,5,0,134,11,Miami FL
38,Australia,US-FL-528,2026-07-12,0,0,36,0,Miami FL
39,Australia,US-FL-528,2026-07-19,0,0,0,0,Miami FL
40,Australia,US-FL-528,2026-07-26,0,0,0,0,Miami FL
41,Australia,US-FL-528,2026-08-02,0,0,0,0,Miami FL
42,Australia,US-FL-528,2026-08-09,0,6,0,0,Miami FL
43,Australia,US-FL-528,2026-08-16,0,0,0,0,Miami FL
44,Australia,US-FL-528,2026-08-23,0,0,0,0,Miami FL
45,Australia,US-GA-524,2026-05-17,0,0,0,0,Atlanta GA
46,Australia,US-GA-524,2026-05-24,0,0,0,0,Atlanta GA
47,Australia,US-GA-524,2026-05-31,10,0,0,0,Atlanta GA
48,Australia,US-GA-524,2026-06-07,0,0,11,0,Atlanta GA
49,Australia,US-GA-524,2026-06-14,0,0,97,9,Atlanta GA
50,Australia,US-GA-524,2026-06-21,0,0,179,40,Atlanta GA
51,Australia,US-GA-524,2026-06-28,0,0,78,0,Atlanta GA
52,Australia,US-GA-524,2026-07-05,5,0,114,10,Atlanta GA
53,Australia,US-GA-524,2026-07-12,0,0,8,0,Atlanta GA
54,Australia,US-GA-524,2026-07-19,0,0,8,0,Atlanta GA
55,Australia,US-GA-524,2026-07-26,0,0,0,0,Atlanta GA
56,Australia,US-GA-524,2026-08-02,0,0,0,0,Atlanta GA
57,Australia,US-GA-524,2026-08-09,0,0,0,0,Atlanta GA
58,Australia,US-GA-524,2026-08-16,0,0,0,0,Atlanta GA
59,Australia,US-GA-524,2026-08-23,0,0,0,0,Atlanta GA
60,Australia,US-IL-602,2026-05-17,0,0,0,0,Chicago IL
61,Australia,US-IL-602,2026-05-24,3,0,0,0,Chicago IL
62,Australia,US-IL-602,2026-05-31,8,0,3,7,Chicago IL
63,Australia,US-IL-602,2026-06-07,6,0,7,0,Chicago IL
64,Australia,US-IL-602,2026-06-14,9,0,94,14,Chicago IL
65,Australia,US-IL-602,2026-06-21,3,0,183,47,Chicago IL
66,Australia,US-IL-602,2026-06-28,8,0,86,10,Chicago IL
67,Australia,US-IL-602,2026-07-05,14,0,138,12,Chicago IL
68,Australia,US-IL-602,2026-07-12,0,0,27,0,Chicago IL
69,Australia,US-IL-602,2026-07-19,0,0,3,0,Chicago IL
70,Australia,US-IL-602,2026-07-26,0,0,0,0,Chicago IL
71,Australia,US-IL-602,2026-08-02,0,0,0,0,Chicago IL
72,Australia,US-IL-602,2026-08-09,0,0,0,0,Chicago IL
73,Australia,US-IL-602,2026-08-16,0,0,0,0,Chicago IL
74,Australia,US-IL-602,2026-08-23,0,0,0,0,Chicago IL
75,Australia,US-MA-506,2026-05-17,0,0,0,0,Boston MA
76,Australia,US-MA-506,2026-05-24,0,0,0,0,Boston MA
77,Australia,US-MA-506,2026-05-31,0,0,0,0,Boston MA
78,Australia,US-MA-506,2026-06-07,0,0,7,0,Boston MA
79,Australia,US-MA-506,2026-06-14,3,0,84,13,Boston MA
80,Australia,US-MA-506,2026-06-21,4,0,164,31,Boston MA
81,Australia,US-MA-506,2026-06-28,0,0,71,8,Boston MA
82,Australia,US-MA-506,2026-07-05,3,0,98,9,Boston MA
83,Australia,US-MA-506,2026-07-12,0,0,15,0,Boston MA
84,Australia,US-MA-506,2026-07-19,0,0,4,0,Boston MA
85,Australia,US-MA-506,2026-07-26,0,0,0,0,Boston MA
86,Australia,US-MA-506,2026-08-02,0,0,0,0,Boston MA
87,Australia,US-MA-506,2026-08-09,0,0,0,0,Boston MA
88,Australia,US-MA-506,2026-08-16,0,0,2,0,Boston MA
89,Australia,US-MA-506,2026-08-23,0,0,0,0,Boston MA
90,Australia,US-MO-616,2026-05-17,0,0,0,0,Kansas City MO
91,Australia,US-MO-616,2026-05-24,0,0,0,0,Kansas City MO
92,Australia,US-MO-616,2026-05-31,0,0,0,0,Kansas City MO
93,Australia,US-MO-616,2026-06-07,8,0,0,0,Kansas City MO
94,Australia,US-MO-616,2026-06-14,0,0,59,11,Kansas City MO
95,Australia,US-MO-616,2026-06-21,0,0,159,39,Kansas City MO
96,Australia,US-MO-616,2026-06-28,0,0,45,0,Kansas City MO
97,Australia,US-MO-616,2026-07-05,0,15,63,11,Kansas City MO
98,Australia,US-MO-616,2026-07-12,0,0,0,0,Kansas City MO
99,Australia,US-MO-616,2026-07-19,0,0,0,0,Kansas City MO
100,Australia,US-MO-616,2026-07-26,0,0,0,0,Kansas City MO
101,Australia,US-MO-616,2026-08-02,0,0,0,0,Kansas City MO
102,Australia,US-MO-616,2026-08-09,0,0,0,0,Kansas City MO
103,Australia,US-MO-616,2026-08-16,0,0,0,0,Kansas City MO
104,Australia,US-MO-616,2026-08-23,0,0,0,0,Kansas City MO
105,Australia,US-NY-501,2026-05-17,2,0,0,0,New York NY
106,Australia,US-NY-501,2026-05-24,13,0,10,2,New York NY
107,Australia,US-NY-501,2026-05-31,17,0,11,1,New York NY
108,Australia,US-NY-501,2026-06-07,17,0,18,1,New York NY
109,Australia,US-NY-501,2026-06-14,18,0,107,13,New York NY
110,Australia,US-NY-501,2026-06-21,19,0,184,46,New York NY
111,Australia,US-NY-501,2026-06-28,19,1,114,14,New York NY
112,Australia,US-NY-501,2026-07-05,20,1,158,21,New York NY
113,Australia,US-NY-501,2026-07-12,12,1,33,4,New York NY
114,Australia,US-NY-501,2026-07-19,7,0,24,0,New York NY
115,Australia,US-NY-501,2026-07-26,5,0,4,0,New York NY
116,Australia,US-NY-501,2026-08-02,1,0,0,0,New York NY
117,Australia,US-NY-501,2026-08-09,1,2,0,0,New York NY
118,Australia,US-NY-501,2026-08-16,0,0,0,0,New York NY
119,Australia,US-NY-501,2026-08-23,0,0,0,0,New York NY
120,Australia,US-PA-504,2026-05-17,0,0,0,0,Philidelphia PA
121,Australia,US-PA-504,2026-05-24,0,0,0,4,Philidelphia PA
122,Australia,US-PA-504,2026-05-31,0,0,0,0,Philidelphia PA
123,Australia,US-PA-504,2026-06-07,0,0,8,0,Philidelphia PA
124,Australia,US-PA-504,2026-06-14,16,0,83,15,Philidelphia PA
125,Australia,US-PA-504,2026-06-21,0,0,170,42,Philidelphia PA
126,Australia,US-PA-504,2026-06-28,0,0,70,5,Philidelphia PA
127,Australia,US-PA-504,2026-07-05,10,0,102,10,Philidelphia PA
128,Australia,US-PA-504,2026-07-12,0,0,16,0,Philidelphia PA
129,Australia,US-PA-504,2026-07-19,5,0,0,0,Philidelphia PA
130,Australia,US-PA-504,2026-07-26,0,0,0,0,Philidelphia PA
131,Australia,US-PA-504,2026-08-02,0,0,0,0,Philidelphia PA
132,Australia,US-PA-504,2026-08-09,0,0,0,0,Philidelphia PA
133,Australia,US-PA-504,2026-08-16,0,0,0,0,Philidelphia PA
134,Australia,US-PA-504,2026-08-23,0,0,1,0,Philidelphia PA
135,Australia,US-TX-618,2026-05-17,0,0,0,0,Houston TX
136,Australia,US-TX-618,2026-05-24,0,0,4,0,Houston TX
