country,geo_code,date,cultural_interest_1,cultural_interest_2,match_interest_1,match_interest_2
Australia,US-CA-803,2026-05-17,2,0,0,0
Australia,US-CA-803,2026-05-24,14,0,6,0
Australia,US-CA-803,2026-05-31,13,0,18,14
Australia,US-CA-803,2026-06-07,14,1,19,3
Australia,US-CA-803,2026-06-14,16,0,128,16
Australia,US-CA-803,2026-06-21,15,0,178,38
Australia,US-CA-803,2026-06-28,15,0,116,11
Australia,US-CA-803,2026-07-05,21,1,200,16
Australia,US-CA-803,2026-07-12,11,0,54,1
Australia,US-CA-803,2026-07-19,8,0,34,0
Australia,US-CA-803,2026-07-26,7,0,8,0
Australia,US-CA-803,2026-08-02,1,0,0,0
Australia,US-CA-803,2026-08-09,2,0,0,0
Australia,US-CA-803,2026-08-16,4,0,0,0
Australia,US-CA-803,2026-08-23,1,0,0,0
Australia,US-CA-807,2026-05-17,0,0,3,0
Australia,US-CA-807,2026-05-24,6,0,5,0
Australia,US-CA-807,2026-05-31,11,0,5,0
Australia,US-CA-807,2026-06-07,10,0,23,0
Australia,US-CA-807,2026-06-14,10,0,124,14
Australia,US-CA-807,2026-06-21,4,0,177,40
Australia,US-CA-807,2026-06-28,16,0,141,15
Australia,US-CA-807,2026-07-05,21,2,197,16
Australia,US-CA-807,2026-07-12,14,0,66,2
Australia,US-CA-807,2026-07-19,0,0,38,0
Australia,US-CA-807,2026-07-26,6,0,9,0
Australia,US-CA-807,2026-08-02,0,0,0,0
Australia,US-CA-807,2026-08-09,0,0,0,0
Australia,US-CA-807,2026-08-16,0,0,0,0
Australia,US-CA-807,2026-08-23,0,0,0,0
Australia,US-FL-528,2026-05-17,0,0,0,0
Australia,US-FL-528,2026-05-24,0,0,0,0
Australia,US-FL-528,2026-05-31,0,0,0,0
Australia,US-FL-528,2026-06-07,0,0,0,0
Australia,US-FL-528,2026-06-14,0,4,100,9
Australia,US-FL-528,2026-06-21,0,0,175,33
Australia,US-FL-528,2026-06-28,5,0,113,0
Australia,US-FL-528,2026-07-05,0,0,131,10
Australia,US-FL-528,2026-07-12,0,0,17,0
Australia,US-FL-528,2026-07-19,0,0,4,0
Australia,US-FL-528,2026-07-26,0,0,0,0
Australia,US-FL-528,2026-08-02,0,0,0,0
Australia,US-FL-528,2026-08-09,0,0,0,0
Australia,US-FL-528,2026-08-16,1,0,0,0
Australia,US-FL-528,2026-08-23,0,0,0,0
Australia,US-GA-524,2026-05-17,0,0,0,0
Australia,US-GA-524,2026-05-24,0,0,0,0
Australia,US-GA-524,2026-05-31,0,0,0,0
Australia,US-GA-524,2026-06-07,4,0,4,0
Australia,US-GA-524,2026-06-14,3,0,108,5
Australia,US-GA-524,2026-06-21,4,0,173,41
Australia,US-GA-524,2026-06-28,0,0,78,4
Australia,US-GA-524,2026-07-05,0,0,118,13
Australia,US-GA-524,2026-07-12,5,0,9,8
Australia,US-GA-524,2026-07-19,0,0,0,4
Australia,US-GA-524,2026-07-26,0,0,0,0
Australia,US-GA-524,2026-08-02,0,0,0,0
Australia,US-GA-524,2026-08-09,0,0,0,0
Australia,US-GA-524,2026-08-16,0,0,0,0
Australia,US-GA-524,2026-08-23,0,0,0,0
Australia,US-MA-506,2026-05-17,0,0,0,0
Australia,US-MA-506,2026-05-24,0,0,4,0
Australia,US-MA-506,2026-05-31,0,0,0,0
Australia,US-MA-506,2026-06-07,6,0,4,0
Australia,US-MA-506,2026-06-14,0,0,84,8
Australia,US-MA-506,2026-06-21,7,4,163,34
Australia,US-MA-506,2026-06-28,3,0,69,4
Australia,US-MA-506,2026-07-05,3,0,97,9
Australia,US-MA-506,2026-07-12,0,0,15,0
Australia,US-MA-506,2026-07-19,0,0,7,0
Australia,US-MA-506,2026-07-26,0,0,0,0
Australia,US-MA-506,2026-08-02,0,0,0,0
Australia,US-MA-506,2026-08-09,0,0,0,0
Australia,US-MA-506,2026-08-16,0,0,1,0
Australia,US-MA-506,2026-08-23,0,0,0,0
Australia,US-MO-616,2026-05-17,0,0,0,0
Australia,US-MO-616,2026-05-24,0,0,0,0
Australia,US-MO-616,2026-05-31,0,0,0,0
Australia,US-MO-616,2026-06-07,0,0,0,0
Australia,US-MO-616,2026-06-14,0,0,56,15
Australia,US-MO-616,2026-06-21,0,0,157,33
Australia,US-MO-616,2026-06-28,10,0,53,0
Australia,US-MO-616,2026-07-05,0,0,64,12
Australia,US-MO-616,2026-07-12,0,0,0,0
Australia,US-MO-616,2026-07-19,0,0,0,0
Australia,US-MO-616,2026-07-26,0,0,0,0
Australia,US-MO-616,2026-08-02,0,0,0,13
Australia,US-MO-616,2026-08-09,0,0,0,0
Australia,US-MO-616,2026-08-16,0,0,0,0
Australia,US-MO-616,2026-08-23,0,0,0,1
Australia,US-NY-501,2026-05-17,2,0,2,0
Australia,US-NY-501,2026-05-24,11,0,7,0
Australia,US-NY-501,2026-05-31,19,0,12,0
Australia,US-NY-501,2026-06-07,15,0,18,2
Australia,US-NY-501,2026-06-14,19,1,106,12
Australia,US-NY-501,2026-06-21,18,0,185,45
Australia,US-NY-501,2026-06-28,20,0,113,13
Australia,US-NY-501,2026-07-05,21,0,156,20
Australia,US-NY-501,2026-07-12,12,0,35,1
Australia,US-NY-501,2026-07-19,9,0,26,0
Australia,US-NY-501,2026-07-26,5,0,4,0
Australia,US-NY-501,2026-08-02,2,0,0,0
Australia,US-NY-501,2026-08-09,4,1,1,0
Australia,US-NY-501,2026-08-16,1,0,0,0
Australia,US-NY-501,2026-08-23,0,0,0,0
Australia,US-PA-504,2026-05-17,0,0,0,0
Australia,US-PA-504,2026-05-24,0,0,0,0
Australia,US-PA-504,2026-05-31,0,0,3,0
Australia,US-PA-504,2026-06-07,0,0,10,0
Australia,US-PA-504,2026-06-14,7,0,87,6
Australia,US-PA-504,2026-06-21,4,0,171,44
Australia,US-PA-504,2026-06-28,0,5,65,4
Australia,US-PA-504,2026-07-05,0,0,102,11
Australia,US-PA-504,2026-07-12,3,0,17,0
Australia,US-PA-504,2026-07-19,0,0,15,0
Australia,US-PA-504,2026-07-26,0,0,0,0
Australia,US-PA-504,2026-08-02,0,0,0,0
Australia,US-PA-504,2026-08-09,0,0,0,0
Australia,US-PA-504,2026-08-16,0,0,0,0
Australia,US-PA-504,2026-08-23,0,0,0,0
Australia,US-TX-618,2026-05-17,0,0,0,0
Australia,US-TX-618,2026-05-24,0,0,0,0
Australia,US-TX-618,2026-05-31,0,0,4,5
Australia,US-TX-618,2026-06-07,0,0,10,0
Australia,US-TX-618,2026-06-14,0,0,101,12
