country,subcategory_title_fixed,article_title,mean_views
England,Culture of England,The_Beatles,16766.09836065574
Netherlands,Culture of the Netherlands,Sinterklaas,4660.983606557377
Iran,Culture of Iran,Persian_language,4656.245901639344
Wales,Welsh language,Welsh_language,3820.7049180327867
Australia,Culture of Australia,Bluey_(TV_series),2951.15
Wales,Culture of Wales,Mari_Lwyd,2132.2131147540986
England,Politics of England,Counties_of_England,1808.1311475409836
Iran,Politics of Iran,Supreme_Leader_of_Iran,1721.0819672131147
Belgium,Culture of Belgium,The_Adventures_of_Tintin,1652.3333333333333
Iran,Economy of Iran,Economy_of_Iran,1141.1639344262296
Turkey,Culture of Turkey,Nazar_(amulet),833.6666666666666
Turkey,Politics of Turkey,Grand_National_Assembly_of_Turkey,765.7166666666667
Australia,Education in Australia,Graduate_diploma,708.0666666666667
Australia,Politics of Australia,Australian_House_of_Representatives,705.1166666666667
England,Geography of England,Northern_England,656.7704918032787
Paraguay,Economy of Paraguay,Mercosur,648.3666666666667
Wales,History of Wales,History_of_Wales,579.9016393442623
Wales,Politics of Wales,Senedd,521.4590163934427
Turkey,Government of Turkey,President_of_Turkey,508.78333333333336
Belgium,Government of Belgium,Flemish_Region,498.25
Netherlands,Education in the Netherlands,Education_in_the_Netherlands,480.44262295081967
Iran,Government of Iran,Politics_of_Iran,470.0983606557377
Bosnia_and_Herzegovina,Politics of Bosnia and Herzegovina,High_Representative_for_Bosnia_and_Herzegovina,441.25
Netherlands,Government of the Netherlands,Capital_of_the_Netherlands,365.62295081967216
Australia,Government of Australia,Australian_Government,364.55
Paraguay,Politics of Paraguay,President_of_Paraguay,296.55
Belgium,Economy of Belgium,Economy_of_Belgium,258.31666666666666
Netherlands,Politics of the Netherlands,Politics_of_the_Netherlands,242.70491803278688
Bosnia_and_Herzegovina,Economy of Bosnia and Herzegovina,Economy_of_Bosnia_and_Herzegovina,221.71666666666667
Paraguay,Government of Paraguay,Chamber_of_Deputies_of_Paraguay,206.5
Bosnia_and_Herzegovina,Culture of Bosnia and Herzegovina,The_Bridge_on_the_Drina,187.93333333333334
Belgium,Politics of Belgium,Hypothetical_partition_of_Belgium,180.55
Turkey,Education in Turkey,Education_in_Turkey,88.08333333333333
Paraguay,Culture of Paraguay,Culture_of_Paraguay,77.13333333333334
England,Housing in England,BedZED,71.11475409836065
Bosnia_and_Herzegovina,Bosnia and Herzegovina templates,Template:Campaignbox_Bosnian_War,7.283333333333333
Germany,Economy of Germany,Federal_Ministry_for_Economic_Affairs_and_Energy,0.0
Germany,Education in Germany,Fachwirt,0.0
Germany,Politics of Germany,District_council_(Germany),0.0
Germany,Culture of Germany,Eurogame,0.0
Ghana,Culture of Ghana,Gambei,0.0
Ghana,Government of Ghana,National_Liberation_Council,0.0
Ghana,Politics of Ghana,Human_rights_in_Ghana,0.0
Ghana,Education in Ghana,Zabzugu_Senior_High_School,0.0
Portugal,Politics of Portugal,Freguesia,0.0
Portugal,Government of Portugal,Superior_Council_of_National_Defence,0.0
Portugal,Economy of Portugal,Housing_in_Portugal,0.0
Portugal,Culture of Portugal,Public_holidays_in_Portugal,0.0
