country,subcategory_title_fixed,article_title,date,views,year played,match date,outcome,match type,score
Australia,Culture of Australia,Culture_of_Australia,2026-06-01,354,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-02,341,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-03,427,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-04,371,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-05,331,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-06,216,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-07,237,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-08,348,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-09,279,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-10,253,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-11,246,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-12,252,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-13,221,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-14,207,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-15,270,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-16,239,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-17,313,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-18,380,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-19,309,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-20,247,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-21,253,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-22,290,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-23,246,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-24,319,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-25,304,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-26,283,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-27,212,2026.0,20260619.0,win,group,2-0
Australia,Culture of Australia,Culture_of_Australia,2026-06-28,180,2026.0,20260619.0,win,group,2-0
